"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@Sophiapandorah","false","UgyRzHk4tC6rHYsZAkp4AaABAg","Bang Medy udah berubah.
 
Dulu dia kalem. Review mainan sendirian aja atau bareng editor & kameramen.

Sekarang dia lebih rusuh Dan heboh. Banyak Collab dgn YouTuber lain.

Gw rasa sih masa transisi Medy yang mulai lebih sering ikut tren dan collab  telah membawanya sampai ketitik ini","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","1 hour ago (edited)","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","1"
"@rudolfmanik68","false","UgwHVyWhIabGOWRf0E14AaABAg","Baru tau ada podcastnya","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","2 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
"@annamlpride","false","Ugz-kx8NZUkHLp8ibkx4AaABAg","aku nonton bang jerome dari jaman smp,ga kerasa sekarang dah kuliah.makasih bang kontenya menghibur dan memotivasi","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","2 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
"@SajjatHossain-u8q","false","Ugyc8Wrhbzq0IJdhtU14AaABAg","Rezeki besar lagi-lagi datang dari P͟U͟L͟A͟U͟777.","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","3 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
"@SajjatHossain-u8q","false","Ugz_4ktvFUww3TFPluF4AaABAg","Dari kecil sampai gede JP, semua berawal dari𝙋𝙐𝙇𝘼𝙪777.","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","3 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
"@SayraBegum-r5u","false","UgwUx_sDhGg_0brFNUp4AaABAg","PU LA U777emang bener-bener ngasih hasil real bukan omong kosong.","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","3 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
"@SayraBegum-r5u","false","UgwhFS_2_hT9D0simNR4AaABAg","Sore tadi cuan deras lagi berkat𝓟𝓤𝓛𝓐𝓤777yang gak pernah zonk.","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","3 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
"@SayraBegum-r5u","false","UgyNH9NxxCpOLm0rW0B4AaABAg","P͟U͟L͟A͟U͟777jadi tempat paling hoki minggu ini ❤️","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","3 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
"@SayraBegum-r5u","false","UgzAJ18REEIFshG1BZ94AaABAg","MAXWYN lagi-lagi datang dari𝙋𝙐𝙇𝘼𝙪777, luar biasa.","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","3 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
"@SayraBegum-r5u","false","UgyyI1xdhkJgPUXdHPh4AaABAg","Rezeki terus ngalir dari PU L AU 7 7 7, tiap hari ada aja ❤️","139","false","https://youtu.be/MVuvPzJNnjk?si=7jqa11tlcueolw2","3 hours ago","0",,"RAHASIA SUKSES YANG BISA DIRENCANAKAN | #MINDPLUS EPS.11","comment","MVuvPzJNnjk","0"
